iter	Passed	Remaining
0	210	63071
1	227	33852
2	240	23776
3	263	19488
4	286	16899
5	312	15321
6	336	14068
7	366	13369
8	388	12555
9	399	11580
10	420	11051
11	442	10615
12	464	10264
13	486	9936
14	510	9690
15	530	9407
16	551	9184
17	573	8981
18	595	8813
19	619	8671
20	642	8529
21	661	8362
22	682	8224
23	708	8145
24	730	8038
25	755	7956
26	776	7849
27	799	7767
28	822	7686
29	847	7624
30	871	7561
31	892	7476
32	909	7360
33	930	7279
34	951	7201
35	973	7135
36	998	7096
37	1019	7028
38	1042	6977
39	1066	6930
40	1091	6893
41	1102	6773
42	1126	6734
43	1149	6689
44	1172	6643
45	1195	6599
46	1217	6553
47	1245	6538
48	1267	6494
49	1289	6448
50	1317	6432
51	1342	6401
52	1364	6359
53	1387	6321
54	1410	6282
55	1431	6238
56	1456	6209
57	1481	6183
58	1492	6097
59	1515	6063
60	1542	6042
61	1568	6022
62	1593	5993
63	1615	5956
64	1638	5923
65	1650	5851
66	1672	5816
67	1695	5784
68	1717	5749
69	1741	5722
70	1765	5693
71	1787	5660
72	1810	5630
73	1829	5587
74	1850	5551
75	1874	5523
76	1894	5487
77	1913	5446
78	1935	5414
79	1959	5387
80	1982	5359
81	2005	5330
82	2026	5299
83	2050	5272
84	2075	5248
85	2098	5221
86	2121	5194
87	2144	5166
88	2166	5136
89	2178	5082
90	2202	5059
91	2225	5031
92	2248	5004
93	2273	4981
94	2297	4958
95	2323	4936
96	2348	4915
97	2376	4898
98	2400	4873
99	2420	4841
100	2443	4813
101	2464	4783
102	2485	4753
103	2507	4725
104	2529	4697
105	2550	4667
106	2574	4643
107	2594	4611
108	2613	4580
109	2634	4550
110	2654	4520
111	2674	4489
112	2697	4464
113	2717	4434
114	2737	4403
115	2761	4380
116	2782	4352
117	2804	4325
118	2827	4300
119	2865	4297
120	2886	4269
121	2908	4242
122	2928	4214
123	2951	4189
124	2972	4161
125	2991	4131
126	3013	4104
127	3034	4077
128	3054	4049
129	3077	4024
130	3097	3996
131	3118	3968
132	3139	3941
133	3166	3922
134	3187	3896
135	3209	3869
136	3228	3841
137	3243	3808
138	3265	3782
139	3286	3755
140	3307	3729
141	3331	3706
142	3351	3679
143	3373	3654
144	3393	3627
145	3413	3600
146	3434	3574
147	3455	3549
148	3474	3521
149	3494	3494
150	3519	3472
151	3542	3449
152	3567	3427
153	3589	3402
154	3611	3378
155	3633	3353
156	3653	3327
157	3674	3302
158	3697	3278
159	3720	3255
160	3748	3236
161	3778	3218
162	3814	3205
163	3841	3185
164	3865	3163
165	3890	3140
166	3913	3116
167	3936	3093
168	3960	3069
169	3982	3045
170	4004	3020
171	4025	2995
172	4047	2971
173	4069	2947
174	4094	2924
175	4116	2900
176	4136	2874
177	4157	2849
178	4179	2825
179	4201	2801
180	4221	2775
181	4242	2750
182	4264	2726
183	4284	2700
184	4305	2676
185	4325	2651
186	4345	2625
187	4368	2602
188	4405	2587
189	4429	2564
190	4452	2540
191	4473	2516
192	4495	2492
193	4516	2468
194	4537	2443
195	4561	2420
196	4581	2395
197	4602	2371
198	4625	2347
199	4647	2323
200	4668	2299
201	4690	2275
202	4710	2250
203	4731	2226
204	4757	2204
205	4779	2180
206	4799	2156
207	4822	2132
208	4842	2108
209	4863	2084
210	4886	2061
211	4908	2037
212	4929	2013
213	4952	1990
214	4972	1965
215	4993	1941
216	5014	1918
217	5035	1894
218	5058	1871
219	5079	1847
220	5101	1823
221	5121	1799
222	5143	1776
223	5165	1752
224	5186	1728
225	5210	1705
226	5231	1682
227	5253	1659
228	5275	1635
229	5296	1612
230	5319	1588
231	5341	1565
232	5364	1542
233	5383	1518
234	5407	1495
235	5433	1473
236	5457	1450
237	5479	1427
238	5501	1404
239	5523	1380
240	5545	1357
241	5567	1334
242	5589	1311
243	5610	1287
244	5633	1264
245	5655	1241
246	5677	1218
247	5700	1195
248	5720	1171
249	5743	1148
250	5764	1125
251	5785	1102
252	5807	1078
253	5830	1055
254	5853	1032
255	5876	1010
256	5899	987
257	5922	964
258	5947	941
259	5969	918
260	5992	895
261	6016	872
262	6039	849
263	6061	826
264	6085	803
265	6106	780
266	6128	757
267	6149	734
268	6169	711
269	6191	687
270	6211	664
271	6232	641
272	6253	618
273	6275	595
274	6295	572
275	6316	549
276	6338	526
277	6361	503
278	6383	480
279	6405	457
280	6426	434
281	6448	411
282	6472	388
283	6492	365
284	6514	342
285	6537	319
286	6557	297
287	6577	274
288	6597	251
289	6618	228
290	6638	205
291	6661	182
292	6681	159
293	6703	136
294	6724	113
295	6744	91
296	6765	68
297	6785	45
298	6806	22
299	6827	0
